id,taste,receptor_name,uniprot_id
1045,odor,JCG4,Q8WZ86
1046,odor,OR2W3,B2RUT5
1047,odor,OR5H14,A0A126GW51
1048,odor,OR9I1,A0A126GVJ4
1049,odor,OR4N2,G3V4W1
1050,odor,OR14J1,A0A126GWQ8
1051,odor,OR5K4,A0A126GWS2
1052,odor,OR2T35,A0A126GWB5
1053,odor,OR4Q2,A0A087X1L2
1054,odor,OR6C4,A0A126GW33
1055,odor,OR51L1,A0A126GWD9
1056,odor,HSA10,Q9NZP4
1057,odor,OR56A5,A0A087WUB2
1058,odor,OR5T2,A0A126GW02
1059,odor,OR13J1,A0A126GVC0
1060,odor,OR4X1,A0A126GVZ7
1061,odor,OR6C65,A0A126GW71
1062,odor,,Q6IEV1
1063,odor,,Q6IEW6
1064,odor,OR8S1,A0A126GVT4
1065,odor,OR4K2,A0A126GWK6
1066,odor,OR5H1,A0A126GW64
1067,odor,OR3A4,A0A126GWD7
1068,odor,OR5D13,A0A126GVI1
1069,odor,OR8D1,A0A126GVG6
1070,odor,OR7D4,A0A126GWS3
1071,odor,OR6C74,B9EIN9
1072,odor,OR52I1,A0A126GWB9
1073,odor,OR4C15,A0A126GW29
1074,odor,OR6C2,A0A126GW05
1075,odor,OR2W3,A0A126GWA8
1076,odor,,Q9H2C7
1077,odor,OR2G3,A0A126GVV3
1078,odor,OR7C1,A0A126GVQ1
1079,odor,OR2F1,A0A126GWI5
1080,odor,"OLFR 42B",O43627
1081,odor,OR5M1,A0A126GVL1
1082,odor,OR1J4,A0A126GW06
1083,odor,OR9Q1,A0A126GWR3
1084,odor,,Q6IF01
1085,odor,OR16-90,O43875
1086,odor,OR14A16,A0A126GWM6
1087,odor,HSA12,Q9NZP3
1088,odor,HPFH6OR,Q9NSC9
1089,odor,OR8U9,A0A126GW36
1090,odor,OR51G1,A0A126GVV7
1091,odor,OR2J3,A0A126GWU7
1092,odor,OR5H6,A0A087WX40
1093,odor,OR4A15,A0A126GVM3
1094,odor,LOC105369274,A0A096LPK9
1095,odor,OR6K6,A0A126GW14
1096,odor,OR2T10,A0A126GV79
1097,odor,OR2B3,A0A126GV76
1098,odor,OR52B4,B2RU22
1099,odor,OR5D14,A0A126GWL3
1100,odor,,A0A1U9X874
1101,odor,OR4N2,G3V3W5
